file_path,transcript
asr_data/audio/1e7196f2-1829-4dc8-981e-763cc3637cfc.wav,Masanın üzerinde bir kitap vardı
asr_data/audio/ee751722-deb0-4f80-b895-5bd7e6ddfe35.wav,Kalemim masadan yere düştü
asr_data/audio/8a9408b0-14dc-4114-8825-86a47bbbf3a5.wav,Defterime yeni notlar yazdım
asr_data/audio/1eea0087-8893-4bb1-9c8a-2b7993910bfd.wav,Bilgisayar bugün çok yavaş çalışıyor
asr_data/audio/59960ad8-5a71-45f9-9e88-7aebffe96b32.wav,Sandalyem kırıldığı için yenisini aldım
asr_data/audio/e002abd1-84b2-4ff3-8956-eb0c6c65fd09.wav,Kitap okumak bana huzur veriyor
asr_data/audio/3a6c4350-7aab-4b72-af4c-7d046c0961b8.wav,Bardakta soğuk su vardı
asr_data/audio/0dd04288-a76f-4fe0-95b8-6249a9960eea.wav,Telefonumun şarjı bitti
asr_data/audio/4ae8538c-bbe7-4746-8f3c-a83b9edf01b8.wav,Gözlüğümü bulamıyorum
asr_data/audio/a31426cb-feeb-4dee-9760-ff7d21d3dbcb.wav,"Pencereyi açtım, içeri serin hava girdi"
asr_data/audio/bbc62eb3-3107-4b3b-99f0-4e39e9e83182.wav,Kapıyı çaldığında evde kimse yoktu
asr_data/audio/57ae04a0-c47f-4ade-8ec7-515baf220d94.wav,Çantamı otobüste unuttum
asr_data/audio/2e0ba36a-2619-42dd-a558-0e3ab9980075.wav,Anahtarımı cebimde buldum
asr_data/audio/0edbd35a-3d93-4ade-9f19-1a7a39e9f319.wav,Aynaya bakıp saçımı düzelttim
asr_data/audio/90651ac4-9037-4e84-af98-a9d54351a518.wav,Yağmur yağınca şemsiyemi açtım
asr_data/audio/a352627c-a3bf-4c25-8250-fcb532e3275e.wav,Kahve içmeden güne başlayamıyorum
asr_data/audio/3d697bd3-2199-4a78-aca0-0c04bffbcadb.wav,Su içmek sağlığımız için çok önemlidir
asr_data/audio/568f83ae-ed3d-48d7-b2d2-7ed1af668a84.wav,Kedim koltuğun üzerinde uyuyor
asr_data/audio/a203b808-c36f-4210-8a5a-12a5aba3cf50.wav,Köpek bahçede havlıyor
asr_data/audio/1413c61b-f35a-429e-b495-c891baef4278.wav,Pencereden bir kuşun sesini duydum
asr_data/audio/b3ce88ff-d2a7-4028-ba4e-d6c91502aacf.wav,Arabamın lastiği patladı
