file_path,transcription,repetition,filename
words/Furkan_kelime_100_rep1.wav,daima,1,Furkan_kelime_100_rep1.wav
words/Furkan_kelime_100_rep2.wav,daima,2,Furkan_kelime_100_rep2.wav
words/Furkan_kelime_100_rep3.wav,daima,3,Furkan_kelime_100_rep3.wav
words/Furkan_kelime_101_rep1.wav,dair,1,Furkan_kelime_101_rep1.wav
words/Furkan_kelime_101_rep2.wav,dair,2,Furkan_kelime_101_rep2.wav
words/Furkan_kelime_101_rep3.wav,dair,3,Furkan_kelime_101_rep3.wav
words/Furkan_kelime_102_rep1.wav,dayanarak,1,Furkan_kelime_102_rep1.wav
words/Furkan_kelime_102_rep2.wav,dayanarak,2,Furkan_kelime_102_rep2.wav
words/Furkan_kelime_102_rep3.wav,dayanarak,3,Furkan_kelime_102_rep3.wav
words/Furkan_kelime_103_rep1.wav,de,1,Furkan_kelime_103_rep1.wav
words/Furkan_kelime_103_rep2.wav,de,2,Furkan_kelime_103_rep2.wav
words/Furkan_kelime_103_rep3.wav,de,3,Furkan_kelime_103_rep3.wav
words/Furkan_kelime_104_rep1.wav,defa,1,Furkan_kelime_104_rep1.wav
words/Furkan_kelime_104_rep2.wav,defa,2,Furkan_kelime_104_rep2.wav
words/Furkan_kelime_104_rep3.wav,defa,3,Furkan_kelime_104_rep3.wav
words/Furkan_kelime_105_rep1.wav,dek,1,Furkan_kelime_105_rep1.wav
words/Furkan_kelime_105_rep2.wav,dek,2,Furkan_kelime_105_rep2.wav
words/Furkan_kelime_105_rep3.wav,dek,3,Furkan_kelime_105_rep3.wav
words/Furkan_kelime_106_rep1.wav,insan,1,Furkan_kelime_106_rep1.wav
words/Furkan_kelime_106_rep2.wav,insan,2,Furkan_kelime_106_rep2.wav
words/Furkan_kelime_106_rep3.wav,insan,3,Furkan_kelime_106_rep3.wav
words/Furkan_kelime_107_rep1.wav,demincek,1,Furkan_kelime_107_rep1.wav
words/Furkan_kelime_107_rep2.wav,demincek,2,Furkan_kelime_107_rep2.wav
words/Furkan_kelime_107_rep3.wav,demincek,3,Furkan_kelime_107_rep3.wav
words/Furkan_kelime_108_rep1.wav,deminden,1,Furkan_kelime_108_rep1.wav
words/Furkan_kelime_108_rep2.wav,deminden,2,Furkan_kelime_108_rep2.wav
words/Furkan_kelime_108_rep3.wav,deminden,3,Furkan_kelime_108_rep3.wav
words/Furkan_kelime_109_rep1.wav,denli,1,Furkan_kelime_109_rep1.wav
words/Furkan_kelime_109_rep2.wav,denli,2,Furkan_kelime_109_rep2.wav
words/Furkan_kelime_109_rep3.wav,denli,3,Furkan_kelime_109_rep3.wav
words/Furkan_kelime_10_rep1.wav,amma,1,Furkan_kelime_10_rep1.wav
words/Furkan_kelime_10_rep2.wav,amma,2,Furkan_kelime_10_rep2.wav
words/Furkan_kelime_10_rep3.wav,amma,3,Furkan_kelime_10_rep3.wav
words/Furkan_kelime_110_rep1.wav,derakap,1,Furkan_kelime_110_rep1.wav
words/Furkan_kelime_110_rep2.wav,derakap,2,Furkan_kelime_110_rep2.wav
words/Furkan_kelime_110_rep3.wav,derakap,3,Furkan_kelime_110_rep3.wav
words/Furkan_kelime_111_rep1.wav,derhal,1,Furkan_kelime_111_rep1.wav
words/Furkan_kelime_111_rep2.wav,derhal,2,Furkan_kelime_111_rep2.wav
words/Furkan_kelime_111_rep3.wav,derhal,3,Furkan_kelime_111_rep3.wav
