file_path,transcription,repetition
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_1_rep1.wav,A,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_1_rep2.wav,A,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_1_rep3.wav,A,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_1_rep4.wav,A,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_1_rep5.wav,A,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_2_rep1.wav,B,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_2_rep2.wav,B,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_2_rep3.wav,B,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_2_rep4.wav,B,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_2_rep5.wav,B,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_3_rep1.wav,C,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_3_rep2.wav,C,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_3_rep3.wav,C,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_3_rep4.wav,C,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_3_rep5.wav,C,5
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_4_rep1.wav,Ç,1
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_4_rep2.wav,Ç,2
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_4_rep3.wav,Ç,3
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_4_rep4.wav,Ç,4
/Users/hasantekbas/Downloads/Algorix Project Doc/Fikret Bey /Pronouns/data/users/Furkan/letters/Furkan_harf_4_rep5.wav,Ç,5
